student_key,study_mode,python_confidence,weekly_study_hours,tasks_completed,quiz_score_pct,last_activity,group_code
SYN001,Campus,medium,27.5,4,78,2026-08-14,G1
SYN002,Online,high,31,5,91,2026-08-15,G1
SYN003,Hybrid,low,18.5,3,64,2026-08-13,G2
SYN004,online,medium,25,4,82,14.08.2026,G2
SYN005,Campus,high,30.5,5,95,2026-08-15,G3
SYN006,ONLINE,low,12,2,55,2026/08/12,G3
SYN007,Hybrid,medium,24,4,73,2026-08-14,G4
SYN008,Campus,low,-4,1,48,2026-08-11,G4
SYN009,Online,high,35,5,104,2026-08-15,G5
SYN010,Campus,medium,20,3,69,2026-08-13,G5
SYN011,Hybrid,high,27.5,5,88,2026-08-15,G1
SYN012,Campus,medium,22,4,,2026-08-14,G2
SYN013,Online,low,10,0,42,2026-08-10,G3
SYN014,Hybrid,medium,twenty,3,71,2026-08-13,G4
SYN015,Campus,high,31,5,93,2026-08-15,
SYN016,Online,medium,26,4,76,2026-08-14,G5
SYN017,Campus,low,15.5,2,58,2026-08-12,G1
SYN018,Hybrid,high,29,5,89,2026-08-15,G2
SYN019,Online,medium,21,3,74,2026-08-13,G3
SYN020,Campus,medium,,4,81,2026-08-14,G4
SYN021,Hybrid,low,16,2,61,2026-08-12,G5
SYN022,Campus,high,33,5,97,2026-08-15,G1
SYN023,Online,medium,24.5,4,79,2026-08-14,G2
SYN023,Online,medium,24.5,4,79,2026-08-14,G2
