student_key,course_week,group_code,quiz_completed,quiz_score_pct,task_submitted,submission_delay_minutes,task_attempts,monday_activity_count,recorded_attendance,concept_map_submitted,concept_coverage_pct,artifact_size_kb,previous_task_score_pct
SYN001,1,G07,1,98.3,1,6.0,3,29,1,0,,1126.4,75.1
SYN001,2,G07,1,94.6,1,7.2,4,36,1,1,81.8,875.0,66.0
SYN001,3,G07,1,85.4,1,-11.8,5,35,1,1,90.5,775.5,87.9
SYN002,1,G03,1,66.8,1,-27.4,1,24,1,1,57.2,210.3,77.2
SYN002,2,G03,1,69.0,0,,0,36,1,1,52.8,190.7,65.0
SYN002,3,G03,0,,1,18.6,1,34,1,1,57.6,385.3,59.8
SYN003,1,G03,1,92.2,1,21.5,1,26,1,0,,266.2,82.0
SYN003,2,G03,1,95.6,1,41.2,2,32,1,1,100.0,744.2,84.1
SYN003,3,G03,1,76.4,1,55.9,1,34,1,1,76.2,604.2,93.3
SYN004,1,G01,0,,1,102.2,1,4,0,0,,284.5,
SYN004,2,G01,0,,1,166.2,1,13,1,0,,207.6,39.9
SYN004,3,G01,0,,1,76.7,1,12,1,1,60.9,317.1,53.6
SYN005,1,G10,1,65.9,1,-85.0,1,26,1,1,69.4,753.9,
SYN005,2,G10,1,66.3,1,-51.1,1,27,1,1,79.0,373.2,74.8
SYN005,3,G10,1,85.3,1,-85.2,2,28,1,0,,233.6,58.9
SYN006,1,G08,1,57.2,1,65.0,2,21,1,1,74.0,551.5,53.8
SYN006,2,G08,1,65.9,1,-6.9,3,28,1,1,66.1,320.3,58.1
SYN006,3,G08,1,54.1,1,28.6,3,24,1,1,66.8,1640.6,80.8
SYN007,1,G09,1,31.0,1,83.7,1,14,1,1,29.7,365.1,36.6
SYN007,2,G09,1,35.8,1,113.1,2,13,1,0,,342.0,50.6
SYN007,3,G09,0,,1,30.9,1,15,1,1,40.6,1007.1,35.6
SYN008,1,G06,1,65.7,1,47.8,3,22,1,1,60.3,474.8,52.3
SYN008,2,G06,1,62.5,1,19.9,1,28,1,1,51.6,217.1,76.1
SYN008,3,G06,1,95.2,1,86.0,1,27,1,1,81.4,376.1,72.2
SYN009,1,G02,1,75.7,1,121.8,2,33,1,1,59.1,182.8,64.4
SYN009,2,G02,1,69.9,1,87.8,2,35,1,1,76.9,454.9,55.9
SYN009,3,G02,1,69.3,1,105.3,5,32,1,1,57.2,397.9,64.4
SYN010,1,G08,1,74.5,1,89.9,3,33,1,1,44.0,109.8,64.1
SYN010,2,G08,1,61.5,1,141.4,3,29,1,1,73.2,1684.3,65.1
SYN010,3,G08,1,93.4,1,72.2,1,38,1,0,,377.5,47.7
SYN011,1,G06,1,60.6,1,121.6,2,30,1,1,40.2,586.0,51.6
SYN011,2,G06,0,,1,68.7,1,27,1,1,66.9,305.1,59.6
SYN011,3,G06,1,51.4,1,69.1,2,31,1,1,57.3,112.6,48.3
SYN012,1,G10,1,90.3,1,15.1,1,15,1,1,71.3,438.9,89.9
SYN012,2,G10,1,94.4,1,41.3,1,30,1,1,87.1,181.9,84.1
SYN012,3,G10,1,84.6,0,,0,16,1,1,91.8,430.6,78.1
SYN013,1,G06,1,80.8,1,-38.9,1,24,1,1,76.0,558.9,74.2
SYN013,2,G06,1,72.7,1,-39.1,1,28,1,1,76.1,275.3,55.6
SYN013,3,G06,1,86.4,1,3.5,3,33,1,1,71.0,881.5,89.6
SYN014,1,G08,1,95.5,1,-30.9,1,16,1,1,96.4,778.8,85.7
SYN014,2,G08,1,83.5,1,-44.6,1,26,1,1,82.8,103.5,96.6
SYN014,3,G08,1,100.0,1,-18.3,1,27,1,1,94.6,212.1,83.9
SYN015,1,G07,1,76.7,1,99.2,4,28,1,1,55.3,345.1,
SYN015,2,G07,1,73.2,1,131.2,3,22,1,1,49.8,705.9,55.4
SYN015,3,G07,0,,1,95.0,4,28,1,0,,712.3,67.1
SYN016,1,G10,1,51.9,1,77.1,1,28,1,1,51.4,211.8,46.0
SYN016,2,G10,1,77.7,1,-12.1,6,31,1,1,57.2,875.8,66.4
SYN016,3,G10,1,80.5,1,44.5,6,33,1,1,61.5,512.6,75.0
SYN017,1,G09,0,,0,,0,2,0,0,,482.7,53.0
SYN017,2,G09,0,,1,53.5,3,6,1,1,42.7,1037.4,75.8
SYN017,3,G09,1,40.8,1,22.9,4,14,0,1,50.0,172.6,62.2
SYN018,1,G05,0,,1,106.0,2,18,1,1,80.0,610.9,58.1
SYN018,2,G05,1,72.5,1,-11.5,2,18,1,1,67.1,486.3,75.1
SYN018,3,G05,0,,1,-17.6,1,25,1,1,66.1,156.5,80.6
SYN019,1,G09,1,100.0,1,-90.0,2,22,1,1,74.2,401.5,82.4
SYN019,2,G09,1,85.1,1,-90.0,1,31,1,1,98.3,257.9,74.2
SYN019,3,G09,1,85.3,1,-90.0,1,30,1,1,90.6,608.0,91.0
SYN020,1,G06,0,,1,-59.2,1,21,1,1,50.1,287.3,77.0
SYN020,2,G06,1,91.1,1,-64.3,1,18,1,1,76.7,184.9,55.2
SYN020,3,G06,0,,1,22.3,1,27,1,1,54.9,596.7,70.3
SYN021,1,G04,0,,1,107.5,2,16,1,1,32.0,832.5,44.2
SYN021,2,G04,1,51.8,1,64.3,2,15,1,1,62.6,247.9,45.2
SYN021,3,G04,0,,1,108.4,3,17,1,0,,638.0,41.9
SYN022,1,G10,1,100.0,1,-6.5,3,27,1,1,100.0,710.5,90.1
SYN022,2,G10,0,,1,60.1,1,23,1,1,93.2,688.8,100.0
SYN022,3,G10,0,,1,4.1,1,21,1,1,94.8,599.3,95.0
SYN023,1,G05,1,58.5,1,62.9,3,28,1,1,65.7,238.8,70.8
SYN023,2,G05,1,82.3,1,133.9,3,30,1,1,52.6,861.4,76.7
SYN023,3,G05,1,77.3,1,44.6,1,28,1,1,71.8,230.7,60.1
