student_key,course_week,group_code,current_quiz_score_pct,previous_task_score_pct,concept_map_score_pct,monday_activity_count,task_attempts,attendance_recorded,task_submitted,submission_delay_minutes,submission_timing,project_activity_count,prior_average_quiz_pct,cumulative_attendance_rate,next_week_quiz_grade_0_5,next_week_quiz_score_pct
SYN001,1,G06,43.2,53.9,56.3,19,1,1,0,,not_submitted,2.0,43.2,1.0,1,38.6
SYN001,2,G06,38.6,35.5,52.6,14,0,0,1,-84.2,early,2.0,40.9,0.5,2,43.4
SYN001,3,G06,43.4,49.2,53.9,22,1,1,1,85.3,late,0.0,41.7,0.667,2,47.9
SYN001,4,G06,47.9,37.1,67.9,24,2,1,0,,not_submitted,3.0,43.3,0.75,2,57.6
SYN001,5,G06,57.6,50.1,65.8,22,2,1,0,,not_submitted,,46.1,0.8,2,47.6
SYN001,6,G06,47.6,65.2,63.4,22,3,1,1,-46.1,early,2.0,46.4,0.833,3,62.3
SYN001,7,G06,62.3,48.8,58.4,20,2,1,1,85.6,late,2.0,48.7,0.857,3,63.5
SYN002,1,G08,44.9,44.4,44.3,17,1,0,1,55.2,late,3.0,44.9,0.0,2,53.3
SYN002,2,G08,53.3,41.0,59.5,24,2,0,1,126.8,late,4.0,49.1,0.0,1,38.6
SYN002,3,G08,,46.8,53.3,13,4,1,1,64.4,late,0.0,45.6,0.333,2,45.1
SYN002,4,G08,45.1,44.1,55.5,11,1,1,1,44.0,late,4.0,45.5,0.5,2,49.7
SYN002,5,G08,49.7,45.2,48.5,18,1,1,1,43.1,late,3.0,46.3,0.6,2,49.9
SYN002,6,G08,49.9,38.9,45.3,12,5,1,1,46.5,late,4.0,46.9,0.667,3,63.8
SYN002,7,G08,63.8,46.7,,21,1,1,1,-54.3,early,3.0,49.3,0.714,2,57.0
SYN003,1,G01,53.7,66.7,62.9,18,4,1,1,7.4,near_deadline,2.0,53.7,1.0,3,62.2
SYN003,2,G01,62.2,58.1,58.5,27,1,1,1,-34.4,early,4.0,58.0,1.0,2,57.3
SYN003,3,G01,57.3,58.0,54.4,18,1,1,1,-5.5,near_deadline,3.0,57.7,1.0,2,52.4
SYN003,4,G01,52.4,67.5,64.9,12,0,1,1,-23.2,near_deadline,5.0,56.4,1.0,3,60.2
SYN003,5,G01,,72.1,50.6,13,3,1,0,,not_submitted,4.0,57.2,1.0,2,47.6
SYN003,6,G01,47.6,61.3,73.3,16,1,1,0,,not_submitted,3.0,55.6,1.0,2,60.0
SYN003,7,G01,60.0,53.0,57.9,16,1,1,0,,not_submitted,2.0,56.2,1.0,3,64.9
SYN004,1,G06,56.9,78.6,52.1,25,2,1,1,7.5,near_deadline,5.0,56.9,1.0,2,55.5
SYN004,2,G06,55.5,59.5,66.1,19,0,1,1,26.4,near_deadline,2.0,56.2,1.0,2,55.5
SYN004,3,G06,55.5,,62.9,25,1,1,1,-10.0,near_deadline,5.0,56.0,1.0,3,70.8
SYN004,4,G06,70.8,61.0,,32,1,1,1,68.4,late,5.0,59.7,1.0,3,60.1
SYN004,5,G06,60.1,,,27,2,1,1,56.8,late,5.0,59.8,1.0,3,72.7
SYN004,6,G06,72.7,65.2,57.8,28,1,1,1,-60.6,early,5.0,61.9,1.0,3,77.2
SYN004,7,G06,77.2,64.2,80.3,21,4,1,1,97.5,late,4.0,64.1,1.0,3,73.8
SYN005,1,G07,68.0,78.7,72.0,13,3,1,0,,not_submitted,5.0,68.0,1.0,3,79.3
SYN005,2,G07,79.3,77.9,79.6,16,2,1,0,,not_submitted,5.0,73.6,1.0,3,72.1
SYN005,3,G07,72.1,69.7,82.4,20,2,1,1,6.3,near_deadline,2.0,73.1,1.0,4,85.0
SYN005,4,G07,85.0,78.0,76.2,19,3,1,0,,not_submitted,1.0,76.1,1.0,4,91.0
SYN005,5,G07,91.0,88.1,80.7,15,1,1,0,,not_submitted,4.0,79.1,1.0,3,77.9
SYN005,6,G07,77.9,85.1,88.0,18,2,1,0,,not_submitted,4.0,78.9,1.0,4,91.7
SYN005,7,G07,91.7,88.9,81.7,22,3,1,1,111.0,late,5.0,80.7,1.0,3,79.4
SYN006,1,G02,79.3,80.1,87.0,19,0,1,0,,not_submitted,1.0,79.3,1.0,5,100.0
SYN006,2,G02,100.0,84.5,90.4,9,2,1,1,112.0,late,2.0,89.6,1.0,4,87.5
SYN006,3,G02,87.5,77.1,77.1,16,1,1,0,,not_submitted,3.0,88.9,1.0,4,98.7
SYN006,4,G02,98.7,88.3,89.9,11,0,1,1,-30.4,early,2.0,91.4,1.0,4,87.1
SYN006,5,G02,87.1,74.7,,9,1,0,0,,not_submitted,2.0,90.5,0.8,4,94.7
SYN006,6,G02,94.7,96.6,92.4,10,2,0,0,,not_submitted,0.0,91.2,0.667,4,90.5
SYN006,7,G02,90.5,82.8,83.1,17,0,1,0,,not_submitted,3.0,91.1,0.714,3,75.5
SYN007,1,G08,54.4,60.2,52.6,3,0,0,0,,not_submitted,0.0,54.4,0.0,2,52.8
SYN007,2,G08,52.8,47.7,53.7,1,1,1,1,109.5,late,,53.6,0.5,2,52.9
SYN007,3,G08,52.9,50.6,,5,1,1,1,110.3,late,0.0,53.4,0.667,2,41.7
SYN007,4,G08,41.7,47.9,46.4,1,1,1,1,64.4,late,3.0,50.5,0.75,3,61.3
SYN007,5,G08,61.3,59.0,52.1,1,0,0,1,65.8,late,0.0,52.6,0.6,3,61.9
SYN007,6,G08,61.9,48.5,66.0,5,1,1,1,37.3,late,1.0,54.2,0.667,2,54.5
SYN007,7,G08,54.5,61.2,41.6,4,2,0,0,,not_submitted,0.0,54.2,0.571,3,71.3
SYN008,1,G02,67.3,65.7,71.0,2,1,0,1,100.4,late,0.0,67.3,0.0,2,55.9
SYN008,2,G02,55.9,73.4,74.5,9,0,1,1,-39.9,early,0.0,61.6,0.5,3,65.3
SYN008,3,G02,65.3,70.3,82.7,7,0,0,1,21.2,near_deadline,0.0,62.8,0.333,3,69.3
SYN008,4,G02,69.3,68.1,76.3,8,1,1,1,-19.1,near_deadline,0.0,64.4,0.5,3,74.8
